year,genre,book_title,author_name,translator,editor,gender,birth_year,image_url,publishing_imprint,big_five,num_pages,link
2007,Nonfiction,The Nine: Inside The Secret World Of The Supreme Court,Jeffrey Toobin,,,male,1960,https://images.gr-assets.com/books/1441671544l/280410.jpg,Doubleday,Penguin Random House,384,https://www.goodreads.com/book/show/280410.The_Nine
1996,Nonfiction,"The Life Of Nelson A. Rockefeller: Worlds To Conquer, 1908-1958",Cary Reich,,,male,1949,https://images.gr-assets.com/books/1387714778l/391221.jpg,Doubleday,Penguin Random House,896,https://www.goodreads.com/book/show/391221.The_Life_of_Nelson_A_Rockefeller
2017,Nonfiction,The Evolution Of Beauty: How Darwin's Forgotten Theory Of Mate Choice Shapes The Animal World - And Us,Richard O. Prum,,,male,1961,https://images.gr-assets.com/books/1474521170m/31624963.jpg,Doubleday,Penguin Random House,400,https://www.goodreads.com/book/show/31624963-the-evolution-of-beauty
2016,Fiction,The Underground Railroad,Colson Whitehead,,,male,1969,https://images.gr-assets.com/books/1493178362m/30555488.jpg,Doubleday,Penguin Random House,306,https://www.goodreads.com/book/show/30555488-the-underground-railroad
2017,Fiction,Autumn,Ali Smith,,,female,1962,https://images.gr-assets.com/books/1456560519m/28446947.jpg,Hamish Hamilton,Penguin Random House,264,https://www.goodreads.com/book/show/28446947-autumn
2012,Fiction,Nw,Zadie Smith,,,female,1975,https://images.gr-assets.com/books/1492591246m/13537891.jpg,Hamish Hamilton,Penguin Random House,296,https://www.goodreads.com/book/show/13537891-nw
2015,Fiction,The Door,Magda Szabo,Len Rix,,female,1917,https://images.gr-assets.com/books/1175252169l/497499.jpg,Harvill Secker,Penguin Random House,272,https://www.goodreads.com/book/show/497499.The_Door
2016,Fiction,The Vegetarian,Han Kang,Deborah Smith,,female,1970,https://images.gr-assets.com/books/1478196580l/25489025.jpg,Hogarth,Penguin Random House,188,https://www.goodreads.com/book/show/25489025-the-vegetarian
2015,Nonfiction,H Is For Hawk,Helen Macdonald,,,female,1970,https://images.gr-assets.com/books/1442151714l/18803640.jpg,Jonathan Cape,Penguin Random House,300,https://www.goodreads.com/book/show/18803640-h-is-for-hawk
1998,Nonfiction,To End A War,Richard Holbrooke,,,male,1941,https://images.gr-assets.com/books/1320452768l/455632.jpg,Modern Library,Penguin Random House,456,https://www.goodreads.com/book/show/455632.To_End_a_War
1996,Fiction,The Collected Stories Of Mavis Gallant,Mavis Gallant,,,female,1922,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Modern Library,Penguin Random House,0,https://www.goodreads.com/book/show/398586.Collected_Stories_of_Mavis_Gallant
2012,Fiction,Building Stories,Chris Ware,,,male,1967,https://images.gr-assets.com/books/1336846329m/13573235.jpg,Pantheon,Penguin Random House,260,https://www.goodreads.com/book/show/13573235-building-stories
2008,Fiction,Netherland,Joseph O'Neill,,,male,1964,https://images.gr-assets.com/books/1344205853l/2615008.jpg,Pantheon,Penguin Random House,269,https://www.goodreads.com/book/show/2615008-netherland
2007,Nonfiction,The Ordeal Of Elizabeth Marsh: A Woman In World History,Linda Colley,,,female,1949,https://images.gr-assets.com/books/1438585423l/382787.jpg,Pantheon,Penguin Random House,363,https://www.goodreads.com/book/show/382787.The_Ordeal_of_Elizabeth_Marsh
2005,Fiction,Veronica,Mary Gaitskill,,,female,1954,https://images.gr-assets.com/books/1495343629l/22259.jpg,Pantheon,Penguin Random House,240,https://www.goodreads.com/book/show/22259.Veronica
1999,Nonfiction,"Coleridge: Darker Reflections, 1804-1834",Richard Holmes,,,male,1945,https://images.gr-assets.com/books/1174882493l/451464.jpg,Pantheon,Penguin Random House,656,https://www.goodreads.com/book/show/451464.Coleridge
2013,Nonfiction,The Sleepwalkers: How Europe Went To War In 1914,Christopher Clark,,,male,1960,https://images.gr-assets.com/books/1384804367l/18669169.jpg,Penguin Books,Penguin Random House,682,https://www.goodreads.com/book/show/18669169-the-sleepwalkers
2000,Fiction,Gertrude And Claudius,John Updike,,,male,1932,https://images.gr-assets.com/books/1485989495m/98160.jpg,Penguin Books,Penguin Random House,224,https://www.goodreads.com/book/show/98160.Gertrude_and_Claudius
1996,Fiction,After Rain,William Trevor,,,male,1928,https://images.gr-assets.com/books/1348828963l/493323.jpg,Penguin Books,Penguin Random House,212,https://www.goodreads.com/book/show/493323.After_Rain
2005,Fiction,On Beauty,Zadie Smith,,,female,1975,https://images.gr-assets.com/books/1495961870m/3679.jpg,Penguin Books,Penguin Random House,445,https://www.goodreads.com/book/show/3679.On_Beauty
2005,Nonfiction,Postwar: A History Of Europe Since 1945,Tony Judt,,,male,1948,https://images.gr-assets.com/books/1388276992l/29658.jpg,Penguin Books,Penguin Random House,933,https://www.goodreads.com/book/show/29658.Postwar
2003,Fiction,Drop City,Coraghessan Boyle,,,male,1948,https://images.gr-assets.com/books/1327936131m/24724.jpg,Penguin Books,Penguin Random House,497,https://www.goodreads.com/book/show/24724.Drop_City
2002,Fiction,Roscoe,William Kennedy,,,male,1928,https://images.gr-assets.com/books/1347608645l/765047.jpg,Penguin Books,Penguin Random House,304,https://www.goodreads.com/book/show/765047.Roscoe
1999,Fiction,Disgrace,J. M. Coetzee,,,male,1940,https://images.gr-assets.com/books/1385161943l/6192.jpg,Penguin Books,Penguin Random House,220,https://www.goodreads.com/book/show/6192.Disgrace
2004,Nonfiction,Alexander Hamilton ,Ron Chernow,,,male,1949,https://images.gr-assets.com/books/1436131915l/16130.jpg,Penguin Books,Penguin Random House,731,https://www.goodreads.com/book/show/16130.Alexander_Hamilton
2006,Fiction,Special Topics In Calamity Physics,Marisha Pessl,,,female,1977,https://images.gr-assets.com/books/1442699779l/3483.jpg,Penguin Books,Penguin Random House,514,https://www.goodreads.com/book/show/3483.Special_Topics_in_Calamity_Physics
2001,Fiction,Austerlitz,W. G. Sebald,,,male,1944,https://images.gr-assets.com/books/1327920142m/88442.jpg,Penguin Books,Penguin Random House,415,https://www.goodreads.com/book/show/88442.Austerlitz
2017,Nonfiction,Grant,Ron Chernow,,,male,1949,https://images.gr-assets.com/books/1488289288m/34237826.jpg,Penguin Press,Penguin Random House,1104,https://www.goodreads.com/book/show/34237826-grant
2014,Fiction,Redeployment,Phil Klay,,,male,1983,https://images.gr-assets.com/books/1417987993m/18114068.jpg,Penguin Press,Penguin Random House,288,https://www.goodreads.com/book/show/18114068-redeployment
2013,Nonfiction,"After The Music Stopped: The Financial Crisis, The Response, And The Work Ahead",Alan S. Blinder,,,male,1945,https://images.gr-assets.com/books/1355917711m/15811560.jpg,Penguin Press,Penguin Random House,496,https://www.goodreads.com/book/show/15811560-after-the-music-stopped
2012,Nonfiction,The Patriarch: The Remarkable Life And Turbulent Times Of Joseph P. Kennedy,David Nasaw,,,male,1945,https://images.gr-assets.com/books/1348052012l/13588421.jpg,Penguin Press,Penguin Random House,868,https://www.goodreads.com/book/show/13588421-the-patriarch
2009,Nonfiction,Lords Of Finance: The Bankers Who Broke The World,Liaquat Ahamed,,,male,1952,https://images.gr-assets.com/books/1441544240l/6025160.jpg,Penguin Press,Penguin Random House,564,https://www.goodreads.com/book/show/6025160-lords-of-finance
2006,Nonfiction,The Omnivore's Dilemma: A Natural History Of Four Meals,Michael Pollan,,,male,1955,https://images.gr-assets.com/books/1393804353l/3109.jpg,Penguin Press,Penguin Random House,451,https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma
